id,name,place,rtaf_tel,rta_tel,note
1,"กองทัพภาคที่ 1",,,,
2,"บก.ทบ.","ราชดำเนิน",0855323560-74,"97000 97004",
3,"รร.กรมข่าว","ถนนพระอาทิตย์"," -","89800 89866 85825",
4,"กอ.รมน.","สวนรื่นฤดี",0855322141,95200,
5,"รพ.พระมงกุฎเกล้า ","อนุสาวรีย์ชัยฯ",0855323668-9,93662-3,
6,"ขส.ทบ.","สะพานแดง",,,"0811494186 จ.ตรีเทพ"
7,"สพ.ทบ.","สะพานแดง",,,
8,"พล.ปตอ.","เกียกกาย",,,
9,"รสก.ทบ.","สามเสน"," -",96395,
10,"พล.ม.2","สนามเป้า",0855323670,95050,"0922659936 จ.ร่ม"
11,"นรด.ชั้น 3","พระนคร"," -","92000 92001","0805566659 จ.แม็ก"
12,"ร.11 รอ.","บางเขน"," -","68900 68700 68982-6",
13,"ยย.ทบ. ","บางเขน"," -","90700 90874",
14,"ส.1","กระทุ่มแบน",0855303070,"96700 96777 96724","0989405128 จ.รังสรรค์"
15,"ส.พัน.1 รอ.","ทุ่งมหาเมฆ",-,82840,
16,"สถานตากอากาศบางปู กพผ.พธ.ทบ.","สมุทรปราการ",,,"0801380254 พี่ตุ๋น  084-6400634 พี่ภาณุพงษ์"
17,"รร.จปร. ","นครนายก"," -","62646 95410-1","0814289161 พี่สุทนธ์"
18,"นปอ.ทบ.","ดอนเมือง"," -",53600,"0643250436 พี่ท๊อป"
19,"พธ.ทบ.","นนทบุรี",0855323655-6,"68200 68299","0855094478  025884703"
20,"ร.1 พัน.2","แจ้งวัฒนะ"," -",69998,
21,"มทบ.11 ","แจ้งวัฒนะ",,,"0825801251 จ.จิ๊บ"
22,"สพบ.พล.1 รอ.","แจ้งวัฒนะ"," -","69800 69813",
23,"ศซท.สพ.ทบ.","ปุทุมธานี"," -","69600 69609","0994259162 พี่โน๊ต"
24,"รร.ขส.ทบ.","ปทุมธานี"," -",86200,
25,"ศปภอ.ทบ.1","วังน้อย"," -",69100,"0925199328 พี่โต๋"
26,"กวรบ.สพ.ทบ.","อยุธยา"," -","65828 94786 95537","0861363376 ส.ณัฐวัฒน์"
27,"รง.ซย.กรซท.ศซส.สพ.ทบ.","อยุธยา"," -",65600,"0878205523 จ.พีรภพ"
28,"มทบ.18  (จทบ.ส.บ.)","สระบุรี"," -","64100 64133","0843403191 พี่ปุ้ม"
29,"ม.พัน. 11 ","สระบุรี",-,"64600 64613","0892415202 ร.ท.ดำรง"
30,"กคย.สพ.ทบ.","สะบุรี",,,"0922613699 จ.มอส ,096-9641586 จ.แอ้ม"
31,"มทบ.13","ลพบุรี",0853123689,"37000 37200 37301-5","0815872614 ส.พีรสิทธิ์"
32,"รพศ.1 ","ลพบุรี"," -",33500,"0881165544 จ.อภิชาติ มีมั่นคง"
33,"พัน.ปพ.รอ. ","ลพบุรี",,,"0983059585 จ.วิวัฒนา"
34,"รพ.อานันทมหิดล ","ลพบุรี",0853012601-2,38000,"0638754908 จ.วีระพล"
35,"ศป.","ลพบุรี",036-486220,"39299 39071 39280","0844613141 ร.ท.บรรลุ ,085-5483521 ร.อ.ณัฐพงษ์ "
36,"พล.ป.","ลพบุรี",,35000,"0813649313 พี่อ้วน"
37,"ศบบ.","ลพบุรี"," -",39452,"0957292255 ส.ภาณุ (แจ๊ส)"
38,"ศฝยว.ทบ(ม่วงค่อม)","ลพบุรี"," -","65200 65247 ","0870565965 จ.จรัญ ทองดี"
39,"มทบ.16 (จทบ.ร.บ.) ","ราชบุรี"," -","53000 53100",
40,"พล.ช.","ราชบุรี"," -","52100 52000",
41,"ผ.6 คส.สพ.ทบ.","ราชบุรี"," -",53258-9,
42,"พล.พัฒนาที่ 1","ราชบุรี"," -","52400 52500",
43,"กส.ทบ.","นครปฐม",0855523692,50500,"063-6526352 พี่กฤษ"
44,"มทบ.17 (จทบ.ก.จ.)","กาญจนบุรี",0855523688-91,"51042-4  51328-9","0614296177 พี่หนุ่ม"
45,"พล.ร.9 ","กาญจนบุรี"," -","51500 51460-70",064-1636429
46,"ศร.","ประจวบคีรีขันธ์",032-542463,"54000 54288","พี่โอฬาร"
47,"รพ.ค่ายธนะรัชต์ ","ประจวบคีรีขันธ์"," -","54400 54403",
48,"รร.นส.ทบ.","ประจวบคีรีขันธ์",0855591325,"54600 54601 ","089-9196202 จ.อัศวิน"
49,"มทบ.15 ","เพชรบุรี"," -","50200 50261",
50,"ร.11 พัน.3","เพชรบุรี"," -","50120 50100",
51,"พล.ร.11","ฉะเชิงเทรา",0855422011,"63015 63111","089-0985467 จ.ศรชัย"
52,"ช.พัน.2 รอ.","ฉะเชิงเทรา"," -","63125-6 63200","082-2716394 จ.บอล"
53,"บชร.1 ","ชลบุรี"," -",69300,"092-3725375 จ.จักรกฤษ"
54,"มทบ.14","ชลบุรี"," -","66798-9 66462","087-0656471 จ.ไพโจรน์"
55,"มทบ.12","ปราจีนบุรี",0855623693,"61297 63172-4 61072","086-2551884 พี่เหน่ง ,061-1793353 พี่เคท"
56,"พล.ร.2 รอ.","ปราจีนบุรี",0855623697-9,"63300 63333","086-4254158 ส.วัลลภ"
57,"กกล.บูรพา","สระแก้ว",-,63700,"086-5518414 พี่บั้ม ,0990683663 ส.ธี ส.พัน2 0871286119พี่อาร์ม948"
58,"ร.12.พัน.2 รอ.","สระแก้ว",-,60500,"092-6865291 จ.วุธ1150 ,096-1348242มว.เป้ 0854145203 แมน"
59,"มทบ.19 (จทบ.ส.ก.) ","สระแก้ว",-,"60800 60824",
60,"ร.12.รอ.","สระแก้ว",-,60600,"0954616698 จ.ส.อ.พร้อมพงษ์ จนท.สส.ทหาร ร.12 รอ."
61,"กอ.ร่วมวังไกลกังวน","สระแก้ว",-,50019,
62,"กองทัพภาคที่ 2",,,,
63,"ทภ.2  ","นครราชสีมา",0852123694-9,22713-4,"089-8448175 จ.สมบัติ"
64,"บชร.2 ","นครราชสีมา"," -",23198,
65,"ส.พัน.22 ทภ.2","นครราชสีมา",,,"095-6377873 จ.ทรงพล (รถดาวเทียม)"
66,"ส.พัน.3 พล.ร.3","นครราชสีมา",,,"062-3515935 จ.ชาตรี บุตรพรม โต้ง (รถดาวเทียม)"
67,"พล.พัฒนา 2","นครราชสีมา",,21408,"083-3686336 พ.ต.สมชาย ตั้งพงษ์"
68,"ศปม.พล.พัฒนา2","นครราชสีมา",044-934668,21407,
69,"พล.ร.3 (ห้องVTC)","นครราชสีมา",,22311,"089-6281872 จ.พีรพงศ์ (แท็ก)"
70,"พัน.กระสุน 22","นครราชสีมา",,,"086-3381783 จ.อดิศักดิ์"
71,"ผ.5 คส.สพ.ทบ.  ","ปากช่อง"," -",29300,"089-2823449 จ.วีระ "
72,"แผนกส่งกำลังเสบียง กก.พธ.ทบ.","ปากช่อง"," -","29800 29862",
73,"รร.ทพ.ทบ.","ปากช่อง",044-311011,29513,"080-8055392 จ.ยุทธศิลป์ พี่ตั้ม"
74,"มทบ.26 (จทบ.บ.ร.) ","บุรีรัมย์",0852123684,"20500 20501","094-1295405 จ.อิทธิกร,084-8363194 จ.ทยาวัต "
75,"มทบ.25 (จทบ.ส.ร.)  ","สุรินทร์",0852123686-7,20000,"090-4192596จ.กิตติศักดิ์,0640691617 ส..สมคิด"
76,"กกล.สุรนารี","สุรินทร์",,,"062-1813825 ส.จิรายุ (ปอม1857)"
77,"ฉก.ทพ.23","กัณฑราลักษณ์",0852222375,84501,"061-0485788 จ.สหรัฐ  (แจ็ค)"
78,"มทบ.22","อุบลราชธานี",0852223697-9,"26000 26100","084-1280167 จ.ปรีชา"
79,"สทค.เขื่องใน","อุบลราชธานี",,,"087-9999225 จ.วสุชาติ (พี่เทิด)"
80,"ร.16 พัน.2","ยโสธร"," -",25300,"093-0247724 จ.รำพรวน"
81,"มทบ.27  (จทบ.ร.อ.) ","ร้อยเอ็ด",0852223680,"20900 21000","086-6119173 จ.ไกรศร, 090-5752255 ส.พีระวัฒน์ แจ็ค"
82,"พล.ร.6 ","ร้อยเอ็ด",0852223689-91,"25666 25501","081-1833514 จ.ดาวเรือง ,083-9467148 จ.สุริยา"
83,"มทบ.23 ","ขอนแก่น",0852223692-3,"24000 24001","086-2301175 พี่เป้, 092-2533057 เสือ"
84,"กรม ร.8","ขอนแก่น",0852323691,"24333 24200","                        พี่ก๊อฟ, 080-7519411จ.ปัญญา1352"
85,"ม.พัน.14 ","ขอนแก่น",0852322338,"21888 24184",
86,"ร.8พัน2 ชุมแพ","ขอนแก่น",,29907,"095-9342766 จ.อดิศักดิ์"
87,"มทบ.28","เลย",,,"089-9445944 จ.ไพรโรจน์(ท๊อป) ,081-2624878 จ.พยุง"
88,"มทบ.24 ","อุดรธานี"," -","27000 27200 27224","083-3652189 พี่จ้อน ,063-2498794 พี่กร"
89,"กกล.สุรศักดิ์มนตรี ","อุดรธานี"," -","28000 28006 28072 28075","081-9646715 จ.สนอง"
90,"ร.13 พัน.2 ","อุดรธานี",042-126424,28200,
91,"มทบ.29 (จทบ.ส.น.) ","สกลนคร",-,"21174 21100  21151","061-0470553 จ.ดนัย"
92,"มทบ.210 (จทบ.น.พ.) ","นครพนม",-,"28891 28800","083-2284558 จ.ลิขิต (พี่แจ๊ค)"
93,"กองทัพภาคที่ 3",,,," "
94,"ทภ.3   ","พิษณุโลก",0853022616-9,"73392 73390"," "
95,"บชร.3","พิษณุโลก",0853022607-8,"73899 74298-9","084-4878351 จ.ภานุ"
96,"พล.พัฒนา 3","พิษณุโลก",0853022605-6,"74998 - 9","083-1383293 จ.กิตติกร "
97,"พล.พัฒนา 3 (บก.พล.)","พิษณุโลก",,,"098-1791565 ผู้กองโบ้ "
98,"รพศ.4 (วังทอง)","พิษณุโลก",-,"77000 77036","086-9271987 จ.ธารา"
99,"มทบ.31","นครสวรรค์"," -","31000 (31042ห้องวิทยุ)","081-9246695 พี่เชรษ"
100,"แผนก 3 คส.สพ.ทบ. ","นครสวรรค์"," -",32300,"081-9246695 พี่เชรษ (ช่วยดูแล)"
101,"มทบ.35","อุตรดิตถ์",0853032612-3,"76699 76436 76440","086-6787730 พี่ตู่"
102,"ป.พัน. 20 ","อุตรดิตถ์",-,76700,"086-6787730 พี่ตู่ (ช่วยดูแล)"
103,"ม.พัน.12  ","แพร่",0853032614,"70700 70710",
104,"มทบ.34 ","พะเยา",-,72223,"091-6359817 จ.มาโนช"
105,"ร.17พัน.4 เชียงคำ","พะเยา",,"82067 - 82070",
106,"มทบ.32 ","ลำปาง",0853032600-2,72300,"081-7166492 จ.เสงี่ยม , 093-2673283จ.สมศักดิ์ ,จ.สัมพันธ์"
107,"ร้อย ฝรพ.4 (ประตูผา)","ลำปาง",,82059-62,
108,"มทบ.37","เชียงราย",0853032380-1,"71700 71777","0806876817 พี่หนุ่ม2939,            จ.อิทธิพล         ส.ฉัตรชัย"
109,"มทบ.33 ","เชียงใหม่",0853032608-10,75398,
110,"กกล.ผาเมือง ","เชียงใหม่"," -",75333,"0897551687 พี่เอ"
111,"ศฝ.นสท.มทบ.33 ","เชียงใหม่"," -",75930,"0882534458 ร.ท.จักรพงศ์"
112,"พล.ร.7","เชียงใหม่",0853032365,"77500 75540","093-2825502 ส.อ.อิวัฒน์ "
113,"พัน.พัฒนา 3 ","เชียงใหม่",0853032360,75800,"081-7062050 จ.ธนพล"
114,"ศูนย์ฝึก นศ. มทบ.33","เชียงใหม่",,,"088-2534458 ร.ท.จักรพงษ์"
115,"กองพันสัตว์ต่าง กส.ทบ.","เชียงใหม่",,,
116,"กองเกษตรกรรม ที่3 กส.ทบ.","เชียงใหม่",,,
117,"มทบ.38 ","น่าน",0853022622-4,"71200 71300"," 087-1727328 จ.สัญญา, 087-8497565 จ.จิรวรรณ"
118,"ม.พัน.15","น่าน",054-716005,,"จ.โอภาส"
119,"ททบ.5 น่าน","น่าน",097-9219769,,"พี่สายันณ์"
120,"มทบ. 36 ","เพชรบูรณ์",0853012640-4,"70399 70059","062-4040972 พี่ยอด, 092-8241883 เอ"
121,"ม.พัน.28 ","เพชรบูรณ์",0853012010,"70500 70555",056-737515
122,"สร.ภูหมันขาว ทอ.","เพชรบูรณ์",,,"083-7390401 ร.อ.ยุทธนา (ผลัดเปลี่ยนกันขึ้น)"
123,"มทบ.310 ","ตาก",0853022620,"72600 72700","099-3572653 จ.ศิริธรรม"
124,"กกล.นเรศวร","ตาก",,,"093-3154412 ส.กอล์ฟ"
125,"ร.7 พัน.5 (ปาย)","แม่ฮ่องสอน",,"95533-4 95538-9","062-4942250 ส.อ.พชร อักษรศักดิ์"
126,"กรมทพ.36 (แม่เสรียง)","แม่ฮ่องสอน",,"82020 - 82023",
127,,,,,
128,"กองทัพภาคที่ 4",,,,
129,"ทภ.4 ","นครศรีธรรมราช",0854123671-2,"40443-6 40520","083-0737055 จ.ส.อ.จีรเดช ,095-6342179 ส.ณัฐพล(เจ)"
130,"มทบ.43 (จทบ.ท.ส.)","นครศรีธรรมราช",0854123681-4,"45210 45400","088-4474743 จ.ส.อ.พิเชต  โจมชู"
131,"กกล.เทพสตรี (ทุ่งสง)","นครศรีธรรมราช",,,"098-2626871  จ.ส.อ.ภูริทัตร  ศรีภักดิ์"
132,"พล.ร.5 (ทุ่งสง)","นครศรีธรรมราช",,,"083-6418330 ร.ต.ปุญญ์ชนัตร์ แก้วฟุ้งรังษี"
133,"ททบ.เขารามโรม","นครศรีธรรมราช"," -",45199,
134,"ร้อย ฝรพ.4 (สิชล)","นครศรีธรรมราช",,,"084-6254415 จ.ส.อ.ณรงค์  บุญนายก"
135,"มทบ.44  (จทบ.ช.พ.)  ","ชุมพร",0855523677-80,"44297 44198-9","090-1768402 จ.ส.อ.เทวรร,084-1834861พี่ตู่"
136,"มทบ.45(  จทบ.ส.ฎ.)","สุราฎร์ธานี",0854123697-9,"45648 45672-3",
137,"ร.15 พัน.4 ","ตรัง"," -",48030,"083-1717909 จ.ส.อ.มนตรี"
138,"มทบ.42 (หาดใหญ่)","สงขลา",0854123686-8,"44696 44300 44699","089-1507499 จ.ส.อ.ไพรศาล  หนูแก้ว"
139,"สทอ.บ้านพรุ (หาดใหญ่)","สงขลา",,,"080-6047696 พ.อ.อ.ชาญชัย ชาญตระกูลทวี"
140,"ททบ. เขาคอหงษ์   ","สงขลา"," -","44360 44694",
141,"พล.พัฒนาที่ 4 ","สงขลา","0854123698 ",42100,"087-5974698  ร.ท.พิรุฬห์  หนูพุ่ม"
142,"กรม สน.พล.ร.15  (เทพา)","สงขลา",,," 0620684888 จ.ส.อ.วิโชติ  หมาดหลี จนท.สส.ทหาร"
143,"ร.5พัน.3 (นาทวี)","สงขลา",,"82047 - 82050","086-2005161จ.ส.อ.อุเทน  สพประสงค์"
144,"ร.5พัน.2","สตูล",,"82043 - 82046","095-3394146 จ.ส.อ.สุริยา  มามาตย์"
145,"มทบ.46 (จทบ.ป.น.) ","ปัตตานี",0854123662-4,"43290 43000 43521","0895960062 พี่อนุวัฒน์"
146,"พล.ร.15   ","ปัตตานี",,"43700 43777",
147,"ส.พัน.15  (ร.153 เดิม)","ปัตตานี",,"46900 46907",
148,"ททบ. เขาบือยอ","ยะลา"," -",43535,
149,"ร.152 พัน.3 (สิรินธร)","ยะลา",0855711765,"46000 46009",
150,"ร.152 พัน.2 (รามัน)","ยะลา",,,"090-4785753 หมวตชิตพล,061-6350952ส.อ.ณัฐพงศ์ ไวยสุตรา"
151,"ร.153 (ส.พัน 15)","ปัตตานี"," -",46900,
152,"ร.151พัน.3 (ปิเหล็ง)","นราธิวาส",,,"083-5946494 จ.ส.อ.พูนเพิ่ม  ธรรรมานุสาร(เอส)"
153,"ร.151 (กะลุวอ)","นราธิวาส",,,"084-0079902 พี่เอ็ม847 ,090-4783296 จ.ส.อ.อาเพนดี  มะเย็ง"
154,"ช.15","ปัตตานี",,46889,
155,"พระตำหนักทักษิณฯ ","นราธิวาส"," -",42713,"081-1879011 ร.ท.วิรัตน์  เทพส่ง"
